name,address,city,state,zip,phone,county,website,size,units,source
Ashley Mhp,8435 Gardner Road,Tampa,FL,33625,(954) 614-0337,Hillsborough,,SMALL (<50),6,HIFLD Open Data
B And W Trailer Park,9722 E Us 92 Highway,Tampa,FL,33610,(813) 612-9784,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Bay West Club,9315 Memorial Highway,Tampa,FL,33635,(813) 885-5652,Hillsborough,,LARGE (>100),382,HIFLD Open Data
Bearss Park Inc,1015 W Bearss,Tampa,FL,33613,(813) 961-3119,Hillsborough,,LARGE (>100),115,HIFLD Open Data
Beauchamp Trailer Park,7416 E Sligh Avenue,Tampa,FL,33610,(813) 626-8993,Hillsborough,,SMALL (<50),6,HIFLD Open Data
Bob & Jo Trailer Park,2903 W Waters Avenue,Tampa,FL,33614,(813) 626-5204,Hillsborough,,SMALL (<50),33,HIFLD Open Data
Boh-Nak Mhp,5011 16Th Avenue S,Tampa,FL,33619,(813) 248-4141,Hillsborough,,SMALL (<50),16,HIFLD Open Data
Breezewood Mhp,1701 Skipper Road,Tampa,FL,33613,(727) 623-4867,Hillsborough,,SMALL (<50),52,HIFLD Open Data
Brentwood Mhp,4713 E Hillsborough Avenue,Tampa,FL,33610,(813) 965-4944,Hillsborough,,SMALL (<50),9,HIFLD Open Data
C And B Mobile Home Park,9915 N Hwy 301,Tampa,FL,33637,(813) 988-3122,Hillsborough,,SMALL (<50),13,HIFLD Open Data
C J Trailer Park,6435 W Hillsborough Avenue,Tampa,FL,33634,(813) 765-3024,Hillsborough,,SMALL (<50),7,HIFLD Open Data
Carefree Village,8000 Sheldon Rd T,Tampa,FL,33615,(813) 886-2555,Hillsborough,,LARGE (>100),408,HIFLD Open Data
Carol Motel & Trailer Park,4130 Causeway Boulevard,Tampa,FL,33619,(813) 248-0016,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Carousel Village Mhp,5410 N Faulkenburg Road,Tampa,FL,33610,(813) 626-0820,Hillsborough,,SMALL (<50),46,HIFLD Open Data
Carrollwood Mhp,12719 N Florida Avenue,Tampa,FL,33612,(813) 932-2889,Hillsborough,,SMALL (<50),17,HIFLD Open Data
Casa Verde Manufactured Home Community,102 Magnolia Lane,Tampa,FL,33610,(813) 621-3268,Hillsborough,,LARGE (>100),384,HIFLD Open Data
Cax-Lakeshore Villa,15401 Lakeshore Villa Drive,Tampa,FL,33613,(813) 961-1054,Hillsborough,,LARGE (>100),295,HIFLD Open Data
Central Tp,9614 Central Avenue,Tampa,FL,33612,(813) 935-3578,Hillsborough,,SMALL (<50),28,HIFLD Open Data
Chalet Village,14622 Nebraska,Tampa,FL,33613,(813) 971-1350,Hillsborough,,MEDIUM (51-100),65,HIFLD Open Data
Cherokee Mhp,11102 Old Hillsborough Avenue,Tampa,FL,33610,(813) 431-0199,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Clewis Avenue Trailer Park,5134 Clewis Avenue,Tampa,FL,33610,(813) 621-5397,Hillsborough,,SMALL (<50),9,HIFLD Open Data
Clewis Mhp,5315 Clewis Avenue,Tampa,FL,33610,(813) 626-7887,Hillsborough,,SMALL (<50),10,HIFLD Open Data
Country Aire,10940 Clay Pit Road,Tampa,FL,33610,(813) 894-5106,Hillsborough,,MEDIUM (51-100),61,HIFLD Open Data
Countryside Village,9001 Sheldon Road,Tampa,FL,33635,(813) 885-2559,Hillsborough,,LARGE (>100),414,HIFLD Open Data
Covered Wagon Mobile Home Park,9915 E Ellicott Street,Tampa,FL,33610,(813) 760-6369,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Davis Mhp,2625 S 90Th Street,Tampa,FL,33619,(813) 653-1891,Hillsborough,,SMALL (<50),14,HIFLD Open Data
Dickson Mhp Ii,12737 N Florida Avenue,Tampa,FL,33612,(813) 965-4205,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Duncan Mobile Home Park,5315 Pickron Lane,Tampa,FL,33610,(813) 626-0820,Hillsborough,,SMALL (<50),7,HIFLD Open Data
Eagle Park,5508 N Orient Road,Tampa,FL,33610,(813) 621-3832,Hillsborough,,SMALL (<50),6,HIFLD Open Data
East Broadway Tp,6012 E Broadway,Tampa,FL,33619,(813) 685-4944,Hillsborough,,SMALL (<50),22,HIFLD Open Data
East Point Mobile Manor,5337 Garden Lane,Tampa,FL,33610,(813) 621-2350,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Easy Living Mhp,4943 E Hillsborough Avenue,Tampa,FL,33610,(813) 621-8299,Hillsborough,,SMALL (<50),,HIFLD Open Data
El Grande Court,10309 N Nebraska Avenue,Tampa,FL,33612,(813) 917-9349,Hillsborough,,SMALL (<50),7,HIFLD Open Data
Family Rentals Mobile Home Community,5123 E Broadway Avenue,Tampa,FL,33619,(813) 248-6695,Hillsborough,,MEDIUM (51-100),47,HIFLD Open Data
Fern Valley Mhp,10601 Tanner Road,Tampa,FL,33610,(813) 241-2616,Hillsborough,,MEDIUM (51-100),13,HIFLD Open Data
Flying Cloud,14205 N Nebraska Avenue,Tampa,FL,33613,(813) 971-7192,Hillsborough,,SMALL (<50),38,HIFLD Open Data
Fountainview Estates Mhp,8800 Sheldon Road,Tampa,FL,33635,(813) 884-3407,Hillsborough,,LARGE (>100),546,HIFLD Open Data
Four J Village Mhp,10708 N Nebraska Avenue,Tampa,FL,33612,(813) 972-2889,Hillsborough,,SMALL (<50),28,HIFLD Open Data
Frontier Trailer Park,13212 N Nebraska Avenue,Tampa,FL,33612,(813) 972-2125,Hillsborough,,SMALL (<50),50,HIFLD Open Data
Garden Springs Mhp,8207 Bowles Road,Tampa,FL,33637,(813) 677-0215,Hillsborough,,SMALL (<50),16,HIFLD Open Data
Gardner Road Mhp,8035 Gardner Road,Tampa,FL,33625,(613) 478-8817,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Glades The,1100 E 127Th Street,Tampa,FL,33612,(813) 391-0737,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Glenwood Mobile Home Park,5002 Habersham Lane,Tampa,FL,33619,(813) 248-6386,Hillsborough,,SMALL (<50),26,HIFLD Open Data
Graulich'S Trailer Park,8725 S Meadow View Circle,Tampa,FL,33625,(813) 920-7416,Hillsborough,,SMALL (<50),,HIFLD Open Data
Great Bay Mhp,5335 Sylvia Pl,Tampa,FL,33610,(813) 453-1330,Hillsborough,,SMALL (<50),16,HIFLD Open Data
Greenpark Residences Inc,5004 19Th Street N,Tampa,FL,33610,(813) 516-7717,Hillsborough,,SMALL (<50),18,HIFLD Open Data
Greenview Estates,5240 Williams Road,Tampa,FL,33610,(813) 398-4332,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Halliday Village Mhp Inc,12408 N Florida Avenue,Tampa,FL,33612,(813) 932-2228,Hillsborough,,MEDIUM (51-100),83,HIFLD Open Data
Hi Pines Mobile Home Park,12224 N Florida Avenue,Tampa,FL,33612,(352) 592-4799,Hillsborough,,MEDIUM (51-100),62,HIFLD Open Data
Hidden Oaks Mhp,707 E 138Th Street,Tampa,FL,33613,(813) 978-3501,Hillsborough,,SMALL (<50),73,HIFLD Open Data
Hilltop Trailer Court,9915 Hwy 92,Tampa,FL,33610,(813) 289-8001,Hillsborough,,SMALL (<50),17,HIFLD Open Data
Hoffman Mobile Home Park,811 E 129Th Avenue,Tampa,FL,33612,(813) 971-8422,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Interbay Mhp 1,6617 S Richard Avenue,Tampa,FL,33616,(813) 404-1240,Hillsborough,,SMALL (<50),12,HIFLD Open Data
J L Mobile Home Park,2310 S 50Th Street,Tampa,FL,33619,(813) 626-5204,Hillsborough,,SMALL (<50),30,HIFLD Open Data
Jersey Trailer Park,9905 N Florida Avenue,Tampa,FL,33612,(813) 935-3578,Hillsborough,,MEDIUM (51-100),73,HIFLD Open Data
Jets Family Park,8041 Gardner Road,Tampa,FL,33625,(813) 714-3694,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Johnny'S Mobile Home Corp,203 E Linebaugh Avenue,Tampa,FL,33612,(813) 932-5126,Hillsborough,,MEDIUM (51-100),92,HIFLD Open Data
Johnson Mobile Home Court,8404 N Rome Avenue,Tampa,FL,33604,(813) 971-7110,Hillsborough,,SMALL (<50),15,HIFLD Open Data
Julie'S Trailer Park,5015 S 24Th Avenue,Tampa,FL,33619,(813) 625-2375,Hillsborough,,SMALL (<50),10,HIFLD Open Data
Kentwood Mhp,4821 Williams Road,Tampa,FL,33610,(813) 626-6962,Hillsborough,,SMALL (<50),23,HIFLD Open Data
Kings Kort,"8710 Gardner Road, Lot 7",Tampa,FL,33625,(813) 885-6849,Hillsborough,,SMALL (<50),10,HIFLD Open Data
Lamplighter On The River Mhp,8406 Cindy Way,Tampa,FL,33637,(813) 988-8005,Hillsborough,,LARGE (>100),426,HIFLD Open Data
Lazy Acres,14011 N Nebraska Avenue,Tampa,FL,33613,(813) 971-8161,Hillsborough,,MEDIUM (51-100),48,HIFLD Open Data
Lazy Oaks,10603 N Nebraska Avenue,Tampa,FL,33612,(813) 977-8210,Hillsborough,,MEDIUM (51-100),56,HIFLD Open Data
Ledbetter'S Mobile Home Court,11024 Old Hillsborough Avenue,Tampa,FL,33610,(813) 626-4522,Hillsborough,,MEDIUM (51-100),12,HIFLD Open Data
Life O'Reilly Mhp,3011 Gandy Boulevard,Tampa,FL,33611,(727) 458-4749,Hillsborough,,SMALL (<50),42,HIFLD Open Data
Lulore Tp,10310 Tanner Road,Tampa,FL,33610,(813) 626-5346,Hillsborough,,MEDIUM (51-100),12,HIFLD Open Data
Madison Lake Estates,5353 Madison Lake Circle,Tampa,FL,33619,(813) 677-1429,Hillsborough,,LARGE (>100),127,HIFLD Open Data
Maria'S Mhp,5319 Garden Lane,Tampa,FL,33610,(813) 626-8489,Hillsborough,,SMALL (<50),8,HIFLD Open Data
Marty'S Mhp,10510 N Nebraska Avenue,Tampa,FL,33612,(813) 643-8711,Hillsborough,,SMALL (<50),61,HIFLD Open Data
Meadowbrook Village,8920 Sheldon Road,Tampa,FL,33635,(813) 885-9397,Hillsborough,,LARGE (>100),257,HIFLD Open Data
Monterey Mobile Home Park,10919 Lehman Road,Tampa,FL,33610,(813) 986-9141,Hillsborough,,SMALL (<50),12,HIFLD Open Data
N And S Mhp,1204 E 122Nd Avenue,Tampa,FL,33612,(813) 286-4067,Hillsborough,,SMALL (<50),8,HIFLD Open Data
N Central Park,9702 Central Avenue,Tampa,FL,33612,(352) 568-2209,Hillsborough,,SMALL (<50),63,HIFLD Open Data
Nasrallah Tp,8601 E Sligh Avenue,Tampa,FL,33610,(813) 626-0589,Hillsborough,,SMALL (<50),12,HIFLD Open Data
North Rome Trailer Park,6700 N Rome Avenue,Tampa,FL,33604,(813) 935-1294,Hillsborough,,SMALL (<50),82,HIFLD Open Data
North Tampa Mobile Home Park,1112 E 142Nd Avenue,Tampa,FL,33613,(786) 436-6362,Hillsborough,,SMALL (<50),47,HIFLD Open Data
Oak Grove Annex,10955 Clay Pit Road,Tampa,FL,33610,(813) 621-3268,Hillsborough,,SMALL (<50),8,HIFLD Open Data
Oak Grove Mhp,4320 Williams Road,Tampa,FL,33610,(813) 621-3268,Hillsborough,,SMALL (<50),50,HIFLD Open Data
P And G Mobile Home Park,2108 S 50Th Street,Tampa,FL,33619,(813) 248-1784,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Palm River Rv Park / Tp,506 S 50Th Street,Tampa,FL,33619,(813) 248-4853,Hillsborough,,SMALL (<50),2,HIFLD Open Data
Paradise Village,9304 Paradise Drive,Tampa,FL,33610,(813) 620-4070,Hillsborough,,LARGE (>100),614,HIFLD Open Data
Park Lane Mhp,5525 Faulkenburg Road,Tampa,FL,33610,(813) 760-6369,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Pelican Tp,10921 N Nebraksa Avenue,Tampa,FL,33612,(813) 971-5121,Hillsborough,,SMALL (<50),26,HIFLD Open Data
Pine Haven Estates,5005 Williams Road,Tampa,FL,33610,(813) 629-3697,Hillsborough,,SMALL (<50),22,HIFLD Open Data
Pop'S Trailer Park,9109 Back Up Road,Tampa,FL,33637,(813) 899-9819,Hillsborough,,SMALL (<50),6,HIFLD Open Data
Ralston Beach Tp,6817 N Habana Avenue,Tampa,FL,33614,(813) 263-3870,Hillsborough,,SMALL (<50),45,HIFLD Open Data
Ray-Mar Mhp,12721 Lynn Road,Tampa,FL,33624,(813) 715-6091,Hillsborough,,SMALL (<50),41,HIFLD Open Data
Regency Oaks Mhp Inc,12407 N 11Th Street,Tampa,FL,33612,(813) 932-2228,Hillsborough,,SMALL (<50),28,HIFLD Open Data
River Bay,411 River Bay Road,Tampa,FL,33619,(813) 621-1091,Hillsborough,,LARGE (>100),307,HIFLD Open Data
River Breeze Mhp,4804 Clewis Avenue,Tampa,FL,33610,(646) 267-3327,Hillsborough,,SMALL (<50),30,HIFLD Open Data
Riverrun Mobile Home Park,8401 Bowles Road,Tampa,FL,33637,(813) 988-8581,Hillsborough,,SMALL (<50),37,HIFLD Open Data
Roche'S Mhp,8709 Gardner Road,Tampa,FL,33625,(813) 623-3355,Hillsborough,,SMALL (<50),8,HIFLD Open Data
Rocky Creek Village,8606 Boulder Court,Tampa,FL,33615,(813) 884-3388,Hillsborough,,LARGE (>100),338,HIFLD Open Data
Rose Lake Estates Mobile Homes,14530 N Florida Avenue,Tampa,FL,33613,(813) 961-6404,Hillsborough,,LARGE (>100),225,HIFLD Open Data
Sandpiper Mhp,5500 N Rome Avenue,Tampa,FL,33603,(813) 870-3811,Hillsborough,,SMALL (<50),37,HIFLD Open Data
Seminole Oaks,5210 N 17Th Street,Tampa,FL,33610,(916) 752-7033,Hillsborough,,SMALL (<50),23,HIFLD Open Data
Shady Acres Estates,11022 Lehman Road,Tampa,FL,33610,(813) 629-3697,Hillsborough,,SMALL (<50),14,HIFLD Open Data
Shady Hideaway Mhp,2413 82Nd Street S,Tampa,FL,33619,(813) 677-1494,Hillsborough,,SMALL (<50),15,HIFLD Open Data
Sherwood Mobile Home Park,4807 Sherwood Park Lane Street,Tampa,FL,33610,(813) 347-6598,Hillsborough,,SMALL (<50),35,HIFLD Open Data
Siesta Mobile Home Court,14714 N Florida Avenue,Tampa,FL,33613,(813) 968-1411,Hillsborough,,MEDIUM (51-100),73,HIFLD Open Data
Sky-Lite Tp,4801 E Hillsborough Avenue,Tampa,FL,33610,(813) 654-4554,Hillsborough,,SMALL (<50),34,HIFLD Open Data
Sleepy Hollow Mhp,11645 Timberridge Road,Tampa,FL,33625,(813) 920-0728,Hillsborough,,SMALL (<50),8,HIFLD Open Data
Steven Charles Smith Mhp,5403 Aldana Drive,Tampa,FL,33614,(813) 877-4901,Hillsborough,,SMALL (<50),62,HIFLD Open Data
Sunshine Tp,13516 W Hillsborough Avenue,Tampa,FL,33635,(813) 754-2056,Hillsborough,,MEDIUM (51-100),51,HIFLD Open Data
Tampa Mobile Park & Campground,5329 Garden Lane,Tampa,FL,33610,(813) 626-8489,Hillsborough,,SMALL (<50),18,HIFLD Open Data
The Woodlands On Clay,11010 Clay Pit Road,Tampa,FL,33610,(813) 888-6621,Hillsborough,,SMALL (<50),30,HIFLD Open Data
Three Lakes Mhp,9800 Sheldon Road,Tampa,FL,33635,(813) 884-7592,Hillsborough,,LARGE (>100),545,HIFLD Open Data
Tidewater Mobile Home Park,8540 N River Road,Tampa,FL,33635,(813) 855-0463,Hillsborough,,SMALL (<50),20,HIFLD Open Data
Trailer Inn Court,8406 Tampa Street,Tampa,FL,33604,(813) 935-9419,Hillsborough,,SMALL (<50),26,HIFLD Open Data
Tropicana Tp,11123 N Nebraska Avenue,Tampa,FL,33612,(813) 971-5121,Hillsborough,,SMALL (<50),33,HIFLD Open Data
Tyrone Village,13618 N Florida Avenue,Tampa,FL,33613,(813) 961-6477,Hillsborough,,LARGE (>100),106,HIFLD Open Data
Village Of Tampa Mhp,1201 E Skipper Road,Tampa,FL,33613,(818) 972-9000,Hillsborough,,LARGE (>100),463,HIFLD Open Data
Westchase Mhp,13107 Memorial Highway,Tampa,FL,33635,(310) 922-5583,Hillsborough,,SMALL (<50),46,HIFLD Open Data
Westlake Tp,5009 Timberlan Street,Tampa,FL,33624,(813) 963-0296,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Westwood Mobile Home Park,14410 Black Cypress Lane,Tampa,FL,33625,(352) 678-5300,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Whispering Pines Park,5507 Baptist Church Road,Tampa,FL,33610,(941) 203-5218,Hillsborough,,SMALL (<50),14,HIFLD Open Data
Winding Creek Mobile Home Park,12420 N Florida Avenue,Tampa,FL,33612,(813) 932-8196,Hillsborough,,MEDIUM (51-100),77,HIFLD Open Data
Winward Lakes,6220 S Dale Mabry Highway,Tampa,FL,33611,(813) 350-9399,Hillsborough,,LARGE (>100),213,HIFLD Open Data
Bayshore Cove,403 Riverside Drive,Tarpon Springs,FL,34689,(727) 937-1661,Pinellas,,SMALL (<50),43,HIFLD Open Data
Chesapeake Pointe Co-Op,"800 Chesapeake Drive, Lot 66",Tarpon Springs,FL,34689,(727) 796-1996,Pinellas,,MEDIUM (51-100),66,HIFLD Open Data
Palm Springs Estates,40110 Us 19 N,Tarpon Springs,FL,34689,(727) 940-5955,Pinellas,,SMALL (<50),46,HIFLD Open Data
Sun Country Mobile Home Park,799 Klosterman Road,Tarpon Springs,FL,34689,(727) 934-0525,Pinellas,,LARGE (>100),120,HIFLD Open Data
Sun Valley Estates,39248 Us 19 N,Tarpon Springs,FL,34689,(727) 934-5015,Pinellas,,LARGE (>100),261,HIFLD Open Data
Tarpon Glen,42085 Us 19 N,Tarpon Springs,FL,34689,(727) 934-8417,Pinellas,,LARGE (>100),170,HIFLD Open Data
Tarponaire Mobile Resort,38791 Us 19 N,Tarpon Springs,FL,34689,(727) 937-5962,Pinellas,,LARGE (>100),137,HIFLD Open Data
The Meadows,505 Anclote Boulevard,Tarpon Springs,FL,34689,(727) 938-3788,Pasco,,LARGE (>100),329,HIFLD Open Data
Dora Canal Court,224 S Lake Avenue,Tavares,FL,32778,(352) 343-6481,Lake,,SMALL (<50),14,HIFLD Open Data
El Red Manor,451 E Burleigh Boulevard,Tavares,FL,32778,(352) 343-3606,Lake,,MEDIUM (51-100),95,HIFLD Open Data
Floridian Gardens Resort & Spa Village,14915 Old 441 Highway,Tavares,FL,32778,(352) 630-3489,Lake,,SMALL (<50),43,HIFLD Open Data
Holiday Mobile Home Park,561 E Burleigh Boulevard,Tavares,FL,32778,(352) 343-2300,Lake,,MEDIUM (51-100),160,HIFLD Open Data
L & M Mobile Court,420 S Lake Avenue,Tavares,FL,32778,(352) 516-2478,Lake,,SMALL (<50),8,HIFLD Open Data
Lake Dora Trailer Park,120 Dora Avenue,Tavares,FL,32778,(970) 884-7150,Lake,,SMALL (<50),42,HIFLD Open Data
Mid Lakes Resort,1 Canal Place,Tavares,FL,32778,(352) 742-1088,Lake,,SMALL (<50),69,HIFLD Open Data
Palm Gardens Mobile Home Park,1661 Palm Garden Street,Tavares,FL,32778,(352) 343-2024,Lake,,MEDIUM (51-100),90,HIFLD Open Data
Riverest Mobile Home Community,49 Crescent Drive,Tavares,FL,32778,(352) 343-7780,Lake,,LARGE (>100),125,HIFLD Open Data
Tiki Village Mobile Home Park,1300 Dead River Road,Tavares,FL,32778,(352) 343-4319,Lake,,LARGE (>100),206,HIFLD Open Data
Tranquil Trailer Court,720-780 E Alfred Street,Tavares,FL,32778,(352) 343-2214,Lake,,SMALL (<50),24,HIFLD Open Data
Tween Waters,210 S Lake Avenue,Tavares,FL,32778,(352) 343-9055,Lake,,SMALL (<50),,HIFLD Open Data
301 Mhp,12510 Us Hwy 301 N,Thonotosassa,FL,33592,(813) 986-2796,Hillsborough,,SMALL (<50),8,HIFLD Open Data
Anna Mary Trailer Park,11014 Us 301 Highway,Thonotosassa,FL,33592,(813) 677-1494,Hillsborough,,SMALL (<50),19,HIFLD Open Data
Boyce'S Mhp,"11370 Hwy 301, Lot 11",Thonotosassa,FL,33592,(813) 986-4144,Hillsborough,,SMALL (<50),11,HIFLD Open Data
Camelot Mhp,11611 Sir Lawrence Court,Thonotosassa,FL,33592,(813) 986-1880,Hillsborough,,LARGE (>100),119,HIFLD Open Data
Charlies Mhp,10813 Main Street,Thonotosassa,FL,33592,(813) 986-1483,Hillsborough,,MEDIUM (51-100),79,HIFLD Open Data
Cindy'S Mobile Home Park,11916 Hazen Avenue,Thonotosassa,FL,33592,(813) 653-9646,Hillsborough,,SMALL (<50),9,HIFLD Open Data
Citrus Knoll Ii Mhp,12942 Morris Bridge Road 8,Thonotosassa,FL,33592,(941) 203-5218,Hillsborough,,SMALL (<50),8,HIFLD Open Data
Citrus Knoll Mhp,12960 Morris Bridge Road,Thonotosassa,FL,33592,(813) 344-6037,Hillsborough,,SMALL (<50),26,HIFLD Open Data
Country Grove Mhp,10730 Skewlee Road,Thonotosassa,FL,33592,(813) 935-7767,Hillsborough,,SMALL (<50),14,HIFLD Open Data
Country Lane Mobile Home Park,9512 Ripley Road,Thonotosassa,FL,33592,(813) 418-2116,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Countryside Mobile Park,10107 Main Street,Thonotosassa,FL,33592,(646) 267-3327,Hillsborough,,SMALL (<50),24,HIFLD Open Data
Crossons Tp,11723 579 Highway S,Thonotosassa,FL,33592,(813) 986-2155,Hillsborough,,SMALL (<50),10,HIFLD Open Data
Dalia Mhp,11920 Hazen Avenue,Thonotosassa,FL,33592,(813) 653-9646,Hillsborough,,SMALL (<50),25,HIFLD Open Data
Del Rio Motel & Tp,11302 Hwy 301 N,Thonotosassa,FL,33592,(813) 677-1494,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Eelweks Mhp,9910 Skewlee Road,Thonotosassa,FL,33592,(813) 986-2632,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Green Oaks Trailer Park,12001 Hwy 301 N,Thonotosassa,FL,33592,(813) 220-8509,Hillsborough,,SMALL (<50),10,HIFLD Open Data
Grove Park,11405 Knights Griffin Road,Thonotosassa,FL,33592,(813) 986-3302,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Guthrie Mobile Home Park,11930 Hazen Avenue,Thonotosassa,FL,33592,(813) 477-3747,Hillsborough,,SMALL (<50),20,HIFLD Open Data
Highland Park,11008 Us Hwy 301,Thonotosassa,FL,33592,(813) 986-3818,Hillsborough,,SMALL (<50),10,HIFLD Open Data
Lpj Mobile Home Park,9835 Skewlee Road,Thonotosassa,FL,33592,(352) 754-3070,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Magnolia Tralier Park,10606 Magnolia Street,Thonotosassa,FL,33592,(813) 495-2776,Hillsborough,,SMALL (<50),,HIFLD Open Data
Mf7 Properties Llc,11939 Us Hwy 301 N,Thonotosassa,FL,33592,(727) 433-0473,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Mgm Mobile Home Community,11632 County 579 Road,Thonotosassa,FL,33592,(813) 986-0693,Hillsborough,,SMALL (<50),38,HIFLD Open Data
Natures Trail Mhp,12880 Morris Bridge Road,Thonotosassa,FL,33592,(813) 986-2301,Hillsborough,,SMALL (<50),35,HIFLD Open Data
Oaks Of Thonotosassa,10321 Main Street,Thonotosassa,FL,33592,(813) 986-3651,Hillsborough,,LARGE (>100),194,HIFLD Open Data
Park View Mhp,10801 Main Street,Thonotosassa,FL,33592,(813) 760-6369,Hillsborough,,SMALL (<50),24,HIFLD Open Data
Pawnee Park,10741 Williams Road,Thonotosassa,FL,33592,(519) 550-6147,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Pick It Six,10721 Williams Road,Thonotosassa,FL,33592,(813) 299-0461,Hillsborough,,SMALL (<50),6,HIFLD Open Data
Pleasant Acres Mhp,10726 Skewlee Road,Thonotosassa,FL,33592,(813) 541-7103,Hillsborough,,SMALL (<50),14,HIFLD Open Data
Ranch Oaks Mobile Home Park,"11940 N Hwy 301, Lot 76",Thonotosassa,FL,33592,(813) 986-3465,Hillsborough,,MEDIUM (51-100),82,HIFLD Open Data
Robbins Mhp (Goss),10140 Tom Folsom Road,Thonotosassa,FL,33592,(813) 653-9646,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Sandy'S Mhp,9920 Skewlee Road,Thonotosassa,FL,33534,(813) 986-1370,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Sasnett Palms Mhp,10740 Skewlee Road,Thonotosassa,FL,33592,(813) 598-2148,Hillsborough,,SMALL (<50),13,HIFLD Open Data
Scaglione Trailer Park,9516 Eastfield Road,Thonotosassa,FL,33592,(813) 986-1517,Hillsborough,,SMALL (<50),12,HIFLD Open Data
Southern Palms Mobile Home Court,10615 Ohio Avenue,Thonotosassa,FL,33592,(941) 203-5218,Hillsborough,,SMALL (<50),14,HIFLD Open Data
Terrace Crossings,9901 E Fowler Avenue,Thonotosassa,FL,33592,(813) 289-8001,Hillsborough,,MEDIUM (51-100),65,HIFLD Open Data
Triple T Mhp,10602 Taylor Road,Thonotosassa,FL,33592,(813) 562-5612,Hillsborough,,SMALL (<50),28,HIFLD Open Data
Williford'S Mobile Home Park,10735 Williams Road,Thonotosassa,FL,33592,(352) 754-3070,Hillsborough,,SMALL (<50),10,HIFLD Open Data
Windward Knoll Mobile Home Park,12415 Thonotosassa Road,Thonotosassa,FL,33592,(813) 986-2525,Hillsborough,,LARGE (>100),138,HIFLD Open Data
April Estates,2475 Cheney Highway,Titusville,FL,32780,(845) 853-2285,Brevard,,SMALL (<50),34,HIFLD Open Data
Briarwood Mobile Home Park,481 Washington Avenue N,Titusville,FL,32796,(212) 595-1946,Brevard,,SMALL (<50),,HIFLD Open Data
Cherrydon Mobile Home Park,495 Washington Avenue N,Titusville,FL,32796,(321) 591-9080,Brevard,,MEDIUM (51-100),55,HIFLD Open Data
Dixie Trailer Park,671 Dixie Avenue N,Titusville,FL,32796,(239) 440-0193,Brevard,,SMALL (<50),32,HIFLD Open Data
Missile View Mobile Home Park,2135 Mayfair Way,Titusville,FL,32796,(321) 267-0017,Brevard,,MEDIUM (51-100),115,HIFLD Open Data
Oak Park Trailer Park,1410 Old Dixie Highway,Titusville,FL,32796,(321) 600-9449,Brevard,,SMALL (<50),48,HIFLD Open Data
Oak Point Mobile Park,7675 Us 1 S,Titusville,FL,32780,(321) 267-6132,Brevard,,MEDIUM (51-100),108,HIFLD Open Data
Palm Harbor Mobile Home Park,7175 Us 1 S,Titusville,FL,32780,(321) 267-7247,Brevard,,MEDIUM (51-100),80,HIFLD Open Data
River Forest Mobile Home Park,7155 Us 1 Highway S,Titusville,FL,32780,(321) 267-5137,Brevard,,MEDIUM (51-100),99,HIFLD Open Data
Silver Breeze Mhp Llc,925 Cheney Highway,Titusville,FL,32780,(321) 537-8539,Brevard,,SMALL (<50),28,HIFLD Open Data
Skidmore Mobile Home Park,7655 Us 1 S,Titusville,FL,32780,(321) 267-6883,Brevard,,SMALL (<50),25,HIFLD Open Data
Swan Lake Estates,3406 Skimmer Lane,Titusville,FL,32796,(321) 269-0991,Brevard,,LARGE (>100),307,HIFLD Open Data
Whispering Pines Mobile Home Park,359 Cheney Highway,Titusville,FL,32780,(321) 267-2081,Brevard,,LARGE (>100),138,HIFLD Open Data
Smith'S Trailer Park 1,916 Ne 2Nd Avenue,Trenton,FL,32693,(352) 463-2326,Gilchrist,,SMALL (<50),8,HIFLD Open Data
Smith'S Trailer Park 2,314 Ne 3Rd Street,Trenton,FL,32693,(352) 463-2677,Gilchrist,,SMALL (<50),6,HIFLD Open Data
Golden Estates Mobile Home,22 Golden Gem Drive,Umatilla,FL,32784,(321) 795-4600,Lake,,MEDIUM (51-100),80,HIFLD Open Data
